label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           0	 1	 5	 0.0	 0.0	 0.0
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 3	 0	 0.7	 1.0	 0.82352936
AR           3	 4	 3	 0.42857143	 0.5	 0.46153846
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 29 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.69107145, rec: 0.6979167, f1: 0.6944772
Micro-average	 prec: 0.725, recall: 0.725, f1: 0.725
