label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 4	 0	 0.0	 0.0	 0.0
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           5	 3	 1	 0.625	 0.8333333	 0.71428573
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 28 fp: 12 fn: 12 labels: 10
Macro-average	 prec: 0.465, rec: 0.51666665, f1: 0.48947367
Micro-average	 prec: 0.7, recall: 0.7, f1: 0.7
