label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 2	 2	 0.33333334	 0.33333334	 0.33333334
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 4	 0	 0.5	 1.0	 0.6666667
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           1	 0	 2	 1.0	 0.33333334	 0.5
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 24 fp: 16 fn: 16 labels: 8
Macro-average	 prec: 0.45692644, rec: 0.5416667, f1: 0.49570107
Micro-average	 prec: 0.6, recall: 0.6, f1: 0.6
