label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 3	 0	 0.75	 1.0	 0.85714287
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 3	 1	 0.5	 0.75	 0.6
CC           5	 1	 2	 0.8333333	 0.71428573	 0.7692307
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 13	 0	 0.1875	 1.0	 0.31578946
tp: 20 fp: 20 fn: 20 labels: 8
Macro-average	 prec: 0.28385416, rec: 0.43303573, f1: 0.34292296
Micro-average	 prec: 0.5, recall: 0.5, f1: 0.5
