label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          2	 3	 1	 0.4	 0.6666667	 0.5
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 9	 0	 0.4375	 1.0	 0.6086956
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 22 fp: 18 fn: 18 labels: 8
Macro-average	 prec: 0.35121527, rec: 0.4965278, f1: 0.41141745
Micro-average	 prec: 0.55, recall: 0.55, f1: 0.55
