label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 4	 0	 0.6	 1.0	 0.75
NAV          6	 4	 0	 0.6	 1.0	 0.75
NA           0	 0	 5	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 4	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           1	 9	 0	 0.1	 1.0	 0.18181819
LR           6	 0	 0	 1.0	 1.0	 1.0
tp: 19 fp: 17 fn: 17 labels: 9
Macro-average	 prec: 0.25555557, rec: 0.44444445, f1: 0.32451499
Micro-average	 prec: 0.5277778, recall: 0.5277778, f1: 0.5277778
