label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 2	 2	 0.75	 0.75	 0.75
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           1	 5	 0	 0.16666667	 1.0	 0.2857143
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 3	 0	 0.625	 1.0	 0.7692308
LR           3	 1	 0	 0.75	 1.0	 0.85714287
tp: 15 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.28645834, rec: 0.46875, f1: 0.35560343
Micro-average	 prec: 0.5769231, recall: 0.5769231, f1: 0.5769231
