label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 0	 3	 1.0	 0.625	 0.7692308
NAV          0	 2	 0	 0.0	 0.0	 0.0
NA           1	 0	 0	 1.0	 1.0	 1.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           2	 6	 0	 0.25	 1.0	 0.4
CC           1	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 1	 0	 0.8333333	 1.0	 0.90909094
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 17 fp: 9 fn: 9 labels: 9
Macro-average	 prec: 0.5648148, rec: 0.625, f1: 0.5933852
Micro-average	 prec: 0.65384614, recall: 0.65384614, f1: 0.65384614
