label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           8	 2	 1	 0.8	 0.8888889	 0.84210527
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 10	 0	 0.44444445	 1.0	 0.61538464
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 9	 0	 0.25	 1.0	 0.4
tp: 19 fp: 21 fn: 21 labels: 9
Macro-average	 prec: 0.16604939, rec: 0.32098764, f1: 0.21887372
Micro-average	 prec: 0.475, recall: 0.475, f1: 0.475
