label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 1	 2	 0.8	 0.6666667	 0.72727275
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           2	 2	 1	 0.5	 0.6666667	 0.57142854
CC           2	 1	 0	 0.6666667	 1.0	 0.8
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 3	 0	 0.5714286	 1.0	 0.72727275
LR           2	 3	 0	 0.4	 1.0	 0.5714286
tp: 14 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.36726192, rec: 0.5416667, f1: 0.43773192
Micro-average	 prec: 0.5833333, recall: 0.5833333, f1: 0.5833333
