label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           0	 0	 3	 0.0	 0.0	 0.0
AR           2	 5	 0	 0.2857143	 1.0	 0.44444448
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 12 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.32390875, rec: 0.5, f1: 0.39313668
Micro-average	 prec: 0.54545456, recall: 0.54545456, f1: 0.54545456
