label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 2	 2	 0.6666667	 0.6666667	 0.6666667
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           1	 0	 2	 1.0	 0.33333334	 0.5
CC           2	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 3	 0	 0.5714286	 1.0	 0.72727275
LR           2	 6	 0	 0.25	 1.0	 0.4
tp: 13 fp: 11 fn: 11 labels: 8
Macro-average	 prec: 0.4360119, rec: 0.5, f1: 0.46581876
Micro-average	 prec: 0.5416667, recall: 0.5416667, f1: 0.5416667
