label        tp	 fp	 fn	 prec	 rec	 f1
DA           0	 1	 6	 0.0	 0.0	 0.0
NAV          6	 15	 0	 0.2857143	 1.0	 0.44444448
NA           0	 0	 5	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 4	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           1	 2	 0	 0.33333334	 1.0	 0.5
LR           6	 5	 0	 0.54545456	 1.0	 0.7058824
tp: 13 fp: 23 fn: 23 labels: 9
Macro-average	 prec: 0.12938912, rec: 0.33333334, f1: 0.18641718
Micro-average	 prec: 0.3611111, recall: 0.3611111, f1: 0.36111107
