label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 1	 2	 0.8	 0.6666667	 0.72727275
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 2	 0.0	 0.0	 0.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 3	 0	 0.5714286	 1.0	 0.72727275
LR           2	 10	 0	 0.16666667	 1.0	 0.2857143
tp: 10 fp: 14 fn: 14 labels: 8
Macro-average	 prec: 0.1922619, rec: 0.33333334, f1: 0.24386561
Micro-average	 prec: 0.41666666, recall: 0.41666666, f1: 0.41666666
