label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 2	 2	 0.33333334	 0.33333334	 0.33333334
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 8	 0	 0.33333334	 1.0	 0.5
CC           6	 0	 1	 1.0	 0.85714287	 0.9230769
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 7	 1	 0.22222222	 0.6666667	 0.33333334
tp: 22 fp: 18 fn: 18 labels: 8
Macro-average	 prec: 0.34861112, rec: 0.4821429, f1: 0.40464532
Micro-average	 prec: 0.55, recall: 0.55, f1: 0.55
