label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 3	 2	 0.25	 0.33333334	 0.28571427
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 0	 0	 1.0	 1.0	 1.0
CC           7	 4	 0	 0.6363636	 1.0	 0.7777778
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 26 fp: 14 fn: 14 labels: 8
Macro-average	 prec: 0.4649621, rec: 0.625, f1: 0.533232
Micro-average	 prec: 0.65, recall: 0.65, f1: 0.65
