label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 12	 0	 0.42857143	 1.0	 0.59999996
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 8	 1	 0.27272728	 0.75	 0.40000004
CC           4	 4	 3	 0.5	 0.5714286	 0.53333336
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           0	 0	 3	 0.0	 0.0	 0.0
tp: 16 fp: 24 fn: 24 labels: 8
Macro-average	 prec: 0.15016234, rec: 0.29017857, f1: 0.19790982
Micro-average	 prec: 0.4, recall: 0.4, f1: 0.40000004
