label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           7	 5	 0	 0.5833333	 1.0	 0.7368421
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 15	 0	 0.16666667	 1.0	 0.2857143
tp: 19 fp: 21 fn: 21 labels: 9
Macro-average	 prec: 0.18333334, rec: 0.33333334, f1: 0.23655917
Micro-average	 prec: 0.475, recall: 0.475, f1: 0.475
