label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 10	 0	 0.44444445	 1.0	 0.61538464
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           3	 10	 0	 0.23076923	 1.0	 0.375
tp: 19 fp: 21 fn: 21 labels: 9
Macro-average	 prec: 0.17378919, rec: 0.32098764, f1: 0.22549228
Micro-average	 prec: 0.475, recall: 0.475, f1: 0.475
