label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 1	 1	 0.6666667	 0.6666667	 0.6666667
SD           0	 0	 5	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
FF           0	 3	 0	 0.0	 0.0	 0.0
CC           7	 2	 0	 0.7777778	 1.0	 0.875
AR           3	 2	 3	 0.6	 0.5	 0.54545456
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 26 fp: 14 fn: 14 labels: 10
Macro-average	 prec: 0.3944444, rec: 0.48333335, f1: 0.43438816
Micro-average	 prec: 0.65, recall: 0.65, f1: 0.65
