label        tp	 fp	 fn	 prec	 rec	 f1
DA           0	 0	 2	 0.0	 0.0	 0.0
NAV          9	 9	 0	 0.5	 1.0	 0.6666667
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           3	 3	 1	 0.5	 0.75	 0.6
LR           9	 4	 0	 0.6923077	 1.0	 0.8181818
tp: 21 fp: 16 fn: 16 labels: 9
Macro-average	 prec: 0.18803419, rec: 0.30555555, f1: 0.23280422
Micro-average	 prec: 0.5675676, recall: 0.5675676, f1: 0.5675676
