label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 3	 2	 0.25	 0.33333334	 0.28571427
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 2	 1	 0.6	 0.75	 0.6666667
CC           7	 6	 0	 0.53846157	 1.0	 0.70000005
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           2	 0	 1	 1.0	 0.6666667	 0.8
LR           2	 4	 1	 0.33333334	 0.6666667	 0.44444448
tp: 24 fp: 16 fn: 16 labels: 8
Macro-average	 prec: 0.45272437, rec: 0.5520834, f1: 0.49749142
Micro-average	 prec: 0.6, recall: 0.6, f1: 0.6
