label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 11	 1	 0.3125	 0.8333333	 0.45454547
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 2	 0.0	 0.0	 0.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 1	 0	 0.8	 1.0	 0.88888896
LR           1	 2	 1	 0.33333334	 0.5	 0.4
tp: 10 fp: 14 fn: 14 labels: 8
Macro-average	 prec: 0.18072917, rec: 0.29166666, f1: 0.22317162
Micro-average	 prec: 0.41666666, recall: 0.41666666, f1: 0.41666666
