label        tp	 fp	 fn	 prec	 rec	 f1
DA           7	 2	 1	 0.7777778	 0.875	 0.8235294
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           1	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 6	 0	 0.45454547	 1.0	 0.625
LR           3	 2	 0	 0.6	 1.0	 0.75
tp: 16 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.35404038, rec: 0.484375, f1: 0.40907723
Micro-average	 prec: 0.61538464, recall: 0.61538464, f1: 0.61538464
