label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 5	 0	 0.5	 1.0	 0.6666667
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           0	 0	 3	 0.0	 0.0	 0.0
AR           2	 4	 0	 0.33333334	 1.0	 0.5
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 12 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.3229167, rec: 0.5, f1: 0.3924051
Micro-average	 prec: 0.54545456, recall: 0.54545456, f1: 0.54545456
