label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 9	 0	 0.4375	 1.0	 0.6086956
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 7	 1	 0.22222222	 0.6666667	 0.33333334
tp: 22 fp: 18 fn: 18 labels: 8
Macro-average	 prec: 0.4137153, rec: 0.46875003, f1: 0.43951654
Micro-average	 prec: 0.55, recall: 0.55, f1: 0.55
