label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 11	 0	 0.3125	 1.0	 0.47619048
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           0	 0	 3	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           3	 2	 0	 0.6	 1.0	 0.75
LR           1	 0	 1	 1.0	 0.5	 0.6666667
tp: 9 fp: 13 fn: 13 labels: 8
Macro-average	 prec: 0.2390625, rec: 0.3125, f1: 0.27089235
Micro-average	 prec: 0.4090909, recall: 0.4090909, f1: 0.4090909
