label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           2	 1	 7	 0.6666667	 0.22222222	 0.33333334
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 29	 0	 0.21621622	 1.0	 0.35555556
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           0	 0	 3	 0.0	 0.0	 0.0
tp: 10 fp: 30 fn: 30 labels: 9
Macro-average	 prec: 0.0980981, rec: 0.13580246, f1: 0.11391134
Micro-average	 prec: 0.25, recall: 0.25, f1: 0.25
