label        tp	 fp	 fn	 prec	 rec	 f1
DA           4	 1	 2	 0.8	 0.6666667	 0.72727275
NAV          0	 0	 2	 0.0	 0.0	 0.0
SD           0	 0	 2	 0.0	 0.0	 0.0
VC           2	 5	 1	 0.2857143	 0.6666667	 0.4
CC           2	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 3	 0.0	 0.0	 0.0
SN           4	 1	 0	 0.8	 1.0	 0.88888896
LR           2	 3	 0	 0.4	 1.0	 0.5714286
tp: 14 fp: 10 fn: 10 labels: 8
Macro-average	 prec: 0.4107143, rec: 0.5416667, f1: 0.4671875
Micro-average	 prec: 0.5833333, recall: 0.5833333, f1: 0.5833333
