label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 5	 0	 0.2857143	 1.0	 0.44444448
NAV          9	 4	 0	 0.6923077	 1.0	 0.8181818
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 4	 0	 0.5	 1.0	 0.6666667
LR           9	 0	 0	 1.0	 1.0	 1.0
tp: 24 fp: 13 fn: 13 labels: 9
Macro-average	 prec: 0.2753358, rec: 0.44444445, f1: 0.34002453
Micro-average	 prec: 0.6486486, recall: 0.6486486, f1: 0.6486486
