label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 7	 0	 0.22222222	 1.0	 0.36363637
NAV          9	 1	 0	 0.9	 1.0	 0.9473684
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           1	 0	 2	 1.0	 0.33333334	 0.5
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 2	 0	 0.6666667	 1.0	 0.8
LR           9	 2	 0	 0.8181818	 1.0	 0.90000004
tp: 25 fp: 12 fn: 12 labels: 9
Macro-average	 prec: 0.40078562, rec: 0.48148143, f1: 0.43744317
Micro-average	 prec: 0.6756757, recall: 0.6756757, f1: 0.6756757
