label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 4	 0	 0.5555556	 1.0	 0.71428573
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           1	 0	 2	 1.0	 0.33333334	 0.5
AR           2	 4	 0	 0.33333334	 1.0	 0.5
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 0	 0	 1.0	 1.0	 1.0
tp: 13 fp: 9 fn: 9 labels: 8
Macro-average	 prec: 0.4548611, rec: 0.5416667, f1: 0.49448314
Micro-average	 prec: 0.59090906, recall: 0.59090906, f1: 0.59090906
