label        tp	 fp	 fn	 prec	 rec	 f1
DA           6	 4	 3	 0.6	 0.6666667	 0.63157904
NAV          0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           4	 26	 0	 0.13333334	 1.0	 0.23529413
CC           0	 0	 7	 0.0	 0.0	 0.0
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           0	 0	 3	 0.0	 0.0	 0.0
tp: 10 fp: 30 fn: 30 labels: 8
Macro-average	 prec: 0.09166667, rec: 0.20833334, f1: 0.12731482
Micro-average	 prec: 0.25, recall: 0.25, f1: 0.25
