label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 3	 0	 0.4	 1.0	 0.5714286
NAV          8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           3	 4	 0	 0.42857143	 1.0	 0.59999996
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 2	 0	 0.6666667	 1.0	 0.8
LR           9	 1	 0	 0.9	 1.0	 0.9473684
tp: 26 fp: 11 fn: 11 labels: 9
Macro-average	 prec: 0.36490303, rec: 0.54320985, f1: 0.4365513
Micro-average	 prec: 0.7027027, recall: 0.7027027, f1: 0.7027027
